"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.10000000000E-002,  0.17932665385E+002,  0.00000000000E+000,  0.41021469445E-003,  0.00000000000E+000,  0.00000000000E+000,  0.13194791309E-005,  0.15993630712E-007
  0.30000000000E-002  0.17932665385E+002  0.00000000000E+000  0.41021469445E-003  0.00000000000E+000  0.00000000000E+000  0.13194791309E-005  0.15993630712E-007
  0.70000000000E-002  0.17932665385E+002  0.00000000000E+000  0.41021469445E-003  0.00000000000E+000  0.00000000000E+000  0.13194791309E-005  0.15993630712E-007
  0.15000000000E-001  0.17932665588E+002  0.00000000000E+000  0.41021469909E-003  0.00000000000E+000  0.00000000000E+000  0.13194791458E-005  0.15993630893E-007
  0.31000000000E-001  0.17932665993E+002  0.00000000000E+000  0.41021470835E-003  0.00000000000E+000  0.00000000000E+000  0.13194791755E-005  0.15993631255E-007
  0.63000000000E-001  0.17932666800E+002  0.00000000000E+000  0.41021472683E-003  0.00000000000E+000  0.00000000000E+000  0.13194792349E-005  0.15993631976E-007
  0.12700000000E+000  0.17932668405E+002  0.00000000000E+000  0.41021476352E-003  0.00000000000E+000  0.00000000000E+000  0.13194793527E-005  0.15993633409E-007
  0.25500000000E+000  0.17932671556E+002  0.00000000000E+000  0.41021483560E-003  0.00000000000E+000  0.00000000000E+000  0.13194795843E-005  0.15993636223E-007
  0.51100000000E+000  0.17932677599E+002  0.00000000000E+000  0.41021497383E-003  0.00000000000E+000  0.00000000000E+000  0.13194800283E-005  0.15993641619E-007
  0.10230000000E+001  0.17932688620E+002  0.00000000000E+000  0.41021522590E-003  0.00000000000E+000  0.00000000000E+000  0.13194808381E-005  0.15993651460E-007
  0.20470000000E+001  0.17932706734E+002  0.00000000000E+000  0.41021564019E-003  0.00000000000E+000  0.00000000000E+000  0.13194821689E-005  0.15993667634E-007
  0.40950000000E+001  0.17932730731E+002  0.00000000000E+000  0.41021618901E-003  0.00000000000E+000  0.00000000000E+000  0.13194839319E-005  0.15993689060E-007
  0.81910000000E+001  0.17932750215E+002  0.00000000000E+000  0.41021663448E-003  0.00000000000E+000  0.00000000000E+000  0.13194853630E-005  0.15993706452E-007
  0.16383000000E+002  0.17932747572E+002  0.00000000000E+000  0.41021657354E-003  0.00000000000E+000  0.00000000000E+000  0.13194851674E-005  0.15993704074E-007
  0.32767000000E+002  0.17932698334E+002  0.00000000000E+000  0.41021544624E-003  0.00000000000E+000  0.00000000000E+000  0.13194815464E-005  0.15993660067E-007
  0.65535000000E+002  0.17932479798E+002  0.00000000000E+000  0.41021044532E-003  0.00000000000E+000  0.00000000000E+000  0.13194654823E-005  0.15993464837E-007
  0.13107100000E+003  0.17931714331E+002  0.00000000000E+000  0.41019293138E-003  0.00000000000E+000  0.00000000000E+000  0.13194092227E-005  0.15992781106E-007
  0.26214300000E+003  0.17929762454E+002  0.00000000000E+000  0.41014827441E-003  0.00000000000E+000  0.00000000000E+000  0.13192657718E-005  0.15991037726E-007
  0.52428700000E+003  0.17925775797E+002  0.00000000000E+000  0.41005706416E-003  0.00000000000E+000  0.00000000000E+000  0.13189727781E-005  0.15987476936E-007
  0.90000000000E+003  0.17920447383E+002  0.00000000000E+000  0.40993515469E-003  0.00000000000E+000  0.00000000000E+000  0.13185811697E-005  0.15982717676E-007
