"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.10000000000E-002,  0.18085290308E+002,  0.00000000000E+000,  0.41361095764E-003,  0.00000000000E+000,  0.00000000000E+000,  0.12762835578E-005,  0.16812054693E-007
  0.30000000000E-002  0.18085290308E+002  0.00000000000E+000  0.41361095764E-003  0.00000000000E+000  0.00000000000E+000  0.12762835578E-005  0.16812054693E-007
  0.70000000000E-002  0.18085290308E+002  0.00000000000E+000  0.41361095764E-003  0.00000000000E+000  0.00000000000E+000  0.12762835578E-005  0.16812054693E-007
  0.15000000000E-001  0.18085289609E+002  0.00000000000E+000  0.41361094166E-003  0.00000000000E+000  0.00000000000E+000  0.12762835085E-005  0.16812054043E-007
  0.31000000000E-001  0.18085288215E+002  0.00000000000E+000  0.41361090976E-003  0.00000000000E+000  0.00000000000E+000  0.12762834101E-005  0.16812052746E-007
  0.63000000000E-001  0.18085285438E+002  0.00000000000E+000  0.41361084627E-003  0.00000000000E+000  0.00000000000E+000  0.12762832142E-005  0.16812050164E-007
  0.12700000000E+000  0.18085279944E+002  0.00000000000E+000  0.41361072061E-003  0.00000000000E+000  0.00000000000E+000  0.12762828266E-005  0.16812045055E-007
  0.25500000000E+000  0.18085269200E+002  0.00000000000E+000  0.41361047489E-003  0.00000000000E+000  0.00000000000E+000  0.12762820687E-005  0.16812035063E-007
  0.51100000000E+000  0.18085248665E+002  0.00000000000E+000  0.41361000525E-003  0.00000000000E+000  0.00000000000E+000  0.12762806200E-005  0.16812015968E-007
  0.10230000000E+001  0.18085210636E+002  0.00000000000E+000  0.41360913553E-003  0.00000000000E+000  0.00000000000E+000  0.12762779372E-005  0.16811980603E-007
  0.20470000000E+001  0.18085138462E+002  0.00000000000E+000  0.41360748492E-003  0.00000000000E+000  0.00000000000E+000  0.12762728471E-005  0.16811913470E-007
  0.40950000000E+001  0.18084976098E+002  0.00000000000E+000  0.41360377168E-003  0.00000000000E+000  0.00000000000E+000  0.12762614092E-005  0.16811762273E-007
  0.81910000000E+001  0.18084569996E+002  0.00000000000E+000  0.41359448431E-003  0.00000000000E+000  0.00000000000E+000  0.12762328577E-005  0.16811383359E-007
  0.16383000000E+002  0.18083637111E+002  0.00000000000E+000  0.41357314996E-003  0.00000000000E+000  0.00000000000E+000  0.12761674276E-005  0.16810510877E-007
  0.32767000000E+002  0.18081547718E+002  0.00000000000E+000  0.41352536777E-003  0.00000000000E+000  0.00000000000E+000  0.12760211862E-005  0.16808552809E-007
  0.65535000000E+002  0.18075086132E+002  0.00000000000E+000  0.41337759773E-003  0.00000000000E+000  0.00000000000E+000  0.12755686258E-005  0.16802501267E-007
  0.13107100000E+003  0.18053840973E+002  0.00000000000E+000  0.41289173968E-003  0.00000000000E+000  0.00000000000E+000  0.12740792650E-005  0.16782622337E-007
  0.26214300000E+003  0.18011767911E+002  0.00000000000E+000  0.41192957248E-003  0.00000000000E+000  0.00000000000E+000  0.12711332295E-005  0.16743210048E-007
  0.52428700000E+003  0.17968401064E+002  0.00000000000E+000  0.41093784258E-003  0.00000000000E+000  0.00000000000E+000  0.12681098899E-005  0.16702412236E-007
  0.90000000000E+003  0.17948085982E+002  0.00000000000E+000  0.41047330080E-003  0.00000000000E+000  0.00000000000E+000  0.12667106469E-005  0.16683078152E-007
