"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.10000000000E-002,  0.10134324219E+006,  0.10000000000E+002,  0.89953899380E+000,  0.10046100620E+000
  0.30000000000E-002  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.70000000000E-002  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.15000000000E-001  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.31000000000E-001  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.63000000000E-001  0.10134324218E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.12700000000E+000  0.10134324217E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.25500000000E+000  0.10134324216E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.51100000000E+000  0.10134324214E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.10230000000E+001  0.10134324212E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.20470000000E+001  0.10134324224E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.40950000000E+001  0.10134324326E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.81910000000E+001  0.10134324800E+006  0.10000000001E+002  0.89953899381E+000  0.10046100619E+000
  0.16383000000E+002  0.10134326283E+006  0.10000000004E+002  0.89953899382E+000  0.10046100618E+000
  0.32767000000E+002  0.10134329415E+006  0.10000000009E+002  0.89953899385E+000  0.10046100615E+000
  0.65535000000E+002  0.10134333958E+006  0.10000000017E+002  0.89953899389E+000  0.10046100611E+000
  0.13107100000E+003  0.10134338779E+006  0.10000000025E+002  0.89953899394E+000  0.10046100606E+000
  0.26214300000E+003  0.10134342860E+006  0.10000000032E+002  0.89953899398E+000  0.10046100602E+000
  0.52428700000E+003  0.10134345796E+006  0.10000000037E+002  0.89953899401E+000  0.10046100599E+000
  0.90000000000E+003  0.10134347399E+006  0.10000000040E+002  0.89953899402E+000  0.10046100598E+000
