"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.10000000000E-002,  0.10134324219E+006,  0.10000000000E+002,  0.89953899380E+000,  0.10046100620E+000
  0.30000000000E-002  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.70000000000E-002  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.15000000000E-001  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.31000000000E-001  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.63000000000E-001  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.12700000000E+000  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.25500000000E+000  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.51100000000E+000  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.10230000000E+001  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.20470000000E+001  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.40950000000E+001  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.81910000000E+001  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.16383000000E+002  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.32767000000E+002  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.65535000000E+002  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.13107100000E+003  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.26214300000E+003  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.52428700000E+003  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.90000000000E+003  0.10134324219E+006  0.10000000001E+002  0.89953899380E+000  0.10046100620E+000
