"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.10000000000E-002,  0.29832275000E+006,  0.10397500038E+002,  0.00000000000E+000,  0.10000000000E+001
  0.30000000000E-002  0.29832275000E+006  0.10397500038E+002  0.00000000000E+000  0.10000000000E+001
  0.70000000000E-002  0.29832275000E+006  0.10397500038E+002  0.00000000000E+000  0.10000000000E+001
  0.15000000000E-001  0.29832275048E+006  0.10397500038E+002  0.00000000000E+000  0.10000000000E+001
  0.31000000000E-001  0.29832275126E+006  0.10397500038E+002  0.00000000000E+000  0.10000000000E+001
  0.63000000000E-001  0.29832275230E+006  0.10397500038E+002  0.00000000000E+000  0.10000000000E+001
  0.12700000000E+000  0.29832275328E+006  0.10397500038E+002  0.00000000000E+000  0.10000000000E+001
  0.25500000000E+000  0.29832275367E+006  0.10397500038E+002  0.00000000000E+000  0.10000000000E+001
  0.51100000000E+000  0.29832275331E+006  0.10397500038E+002  0.00000000000E+000  0.10000000000E+001
  0.10230000000E+001  0.29832275293E+006  0.10397500038E+002  0.00000000000E+000  0.10000000000E+001
  0.20470000000E+001  0.29832275178E+006  0.10397500039E+002  0.00000000000E+000  0.10000000000E+001
  0.40950000000E+001  0.29832269942E+006  0.10397500039E+002  0.00000000000E+000  0.10000000000E+001
  0.81910000000E+001  0.29832222556E+006  0.10397500039E+002  0.00000000000E+000  0.10000000000E+001
  0.16383000000E+002  0.29832035520E+006  0.10397500036E+002  0.00000000000E+000  0.10000000000E+001
  0.32767000000E+002  0.29831633156E+006  0.10397500028E+002  0.00000000000E+000  0.10000000000E+001
  0.65535000000E+002  0.29831097385E+006  0.10397500021E+002  0.00000000000E+000  0.10000000000E+001
  0.13107100000E+003  0.29830616147E+006  0.10397500023E+002  0.00000000000E+000  0.10000000000E+001
  0.26214300000E+003  0.29830289721E+006  0.10397500046E+002  0.00000000000E+000  0.10000000000E+001
  0.52428700000E+003  0.29830075346E+006  0.10397500103E+002  0.00000000000E+000  0.10000000000E+001
  0.90000000000E+003  0.29829933277E+006  0.10397500191E+002  0.00000000000E+000  0.10000000000E+001
