"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.10000000000E-002,  0.10134324219E+006,  0.10000000000E+002,  0.89953899380E+000,  0.10046100620E+000
  0.30000000000E-002  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.70000000000E-002  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.15000000000E-001  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.31000000000E-001  0.10134324219E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.63000000000E-001  0.10134324218E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.12700000000E+000  0.10134324217E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.25500000000E+000  0.10134324216E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.51100000000E+000  0.10134324214E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.10230000000E+001  0.10134324212E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.20470000000E+001  0.10134324224E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.40950000000E+001  0.10134324326E+006  0.10000000000E+002  0.89953899380E+000  0.10046100620E+000
  0.81910000000E+001  0.10134324800E+006  0.10000000001E+002  0.89953899381E+000  0.10046100619E+000
  0.16383000000E+002  0.10134326279E+006  0.10000000004E+002  0.89953899382E+000  0.10046100618E+000
  0.32767000000E+002  0.10134329367E+006  0.10000000009E+002  0.89953899385E+000  0.10046100615E+000
  0.65535000000E+002  0.10134333703E+006  0.10000000016E+002  0.89953899389E+000  0.10046100611E+000
  0.13107100000E+003  0.10134337993E+006  0.10000000024E+002  0.89953899393E+000  0.10046100607E+000
  0.26214300000E+003  0.10134341243E+006  0.10000000029E+002  0.89953899396E+000  0.10046100604E+000
  0.52428700000E+003  0.10134343297E+006  0.10000000033E+002  0.89953899398E+000  0.10046100602E+000
  0.90000000000E+003  0.10134344307E+006  0.10000000034E+002  0.89953899399E+000  0.10046100601E+000
