"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.10000000000E-002,  0.79067125000E+006,  0.10885000229E+002,  0.00000000000E+000,  0.10000000000E+001
  0.30000000000E-002  0.79067125000E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.70000000000E-002  0.79067125000E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.15000000000E-001  0.79067125000E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.31000000000E-001  0.79067125000E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.63000000000E-001  0.79067124999E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.12700000000E+000  0.79067124987E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.25500000000E+000  0.79067124927E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.51100000000E+000  0.79067124747E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.10230000000E+001  0.79067124407E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.20470000000E+001  0.79067124130E+006  0.10885000230E+002  0.00000000000E+000  0.10000000000E+001
  0.40950000000E+001  0.79067127857E+006  0.10885000231E+002  0.00000000000E+000  0.10000000000E+001
  0.81910000000E+001  0.79067165341E+006  0.10885000234E+002  0.00000000000E+000  0.10000000000E+001
  0.16383000000E+002  0.79067320275E+006  0.10885000242E+002  0.00000000000E+000  0.10000000000E+001
  0.32767000000E+002  0.79067652265E+006  0.10885000261E+002  0.00000000000E+000  0.10000000000E+001
  0.65535000000E+002  0.79068051015E+006  0.10885000287E+002  0.00000000000E+000  0.10000000000E+001
  0.13107100000E+003  0.79068316168E+006  0.10885000322E+002  0.00000000000E+000  0.10000000000E+001
  0.26214300000E+003  0.79068389082E+006  0.10885000375E+002  0.00000000000E+000  0.10000000000E+001
  0.52428700000E+003  0.79068367547E+006  0.10885000475E+002  0.00000000000E+000  0.10000000000E+001
  0.90000000000E+003  0.79068345874E+006  0.10885000619E+002  0.00000000000E+000  0.10000000000E+001
